GID,NAME,LANGUAGE
838,Tarvasjoki,sv
844,Tervo,fi
844,Tervo,sv
845,Tervola,fi
845,Tervola,sv
846,Teuva,fi
846,Östermark,sv
848,Tohmajärvi,fi
848,Tohmajärvi,sv
849,Toholampi,fi
849,Toholampi,sv
850,Toivakka,fi
850,Toivakka,sv
851,Tornio,fi
851,Torneå,sv
853,Turku,fi
853,Åbo,sv
854,Pello,fi
854,Pello,sv
857,Tuusniemi,fi
857,Tuusniemi,sv
858,Tuusula,fi
858,Tusby,sv
859,Tyrnävä,fi
859,Tyrnävä,sv
886,Ulvila,fi
886,Ulvsby,sv
887,Urjala,fi
887,Urjala,sv
889,Utajärvi,fi
889,Utajärvi,sv
890,Utsjoki,fi
890,Utsjoki,sv
892,Uurainen,fi
892,Uurainen,sv
893,Uusikaarlepyy,fi
893,Nykarleby,sv
895,Uusikaupunki,fi
895,Nystad,sv
905,Vaasa,fi
905,Vasa,sv
908,Valkeakoski,fi
908,Valkeakoski,sv
911,Valtimo,fi
911,Valtimo,sv
915,Varkaus,fi
915,Varkaus,sv
918,Vehmaa,fi
918,Vehmaa,sv
921,Vesanto,fi
921,Vesanto,sv
922,Vesilahti,fi
922,Vesilahti,sv
924,Veteli,fi
924,Vetil,sv
925,Vieremä,fi
925,Vieremä,sv
927,Vihti,fi
927,Vichtis,sv
931,Viitasaari,fi
931,Viitasaari,sv
934,Vimpeli,fi
934,Vindala,sv
935,Virolahti,fi
935,Virolahti,sv
936,Virrat,fi
936,Virdois,sv
941,Vårdö,fi
941,Vårdö,sv
976,Ylitornio,fi
976,Övertorneå,sv
977,Ylivieska,fi
977,Ylivieska,sv
980,Ylöjärvi,fi
980,Ylöjärvi,sv
981,Ypäjä,fi
981,Ypäjä,sv
989,Ähtäri,fi
989,Ähtäri,sv
992,Äänekoski,fi
992,Äänekoski,sv
999,Ei vak asuinkuntaa,fi
999,Ei vak asuinkuntaa,sv
